Reaction Coordinate   Radius (Angstrom)
-11.33800   2.13701
-11.08800   1.97387
-10.83800   1.82824
-10.58800   1.70346
-10.33800   1.58884
-10.08800   1.50097
-9.83800   1.41517
-9.58800   1.34100
-9.33800   1.29215
-9.08800   1.27396
-8.83800   1.27397
-8.58800   1.27140
-8.33800   1.28209
-8.08800   1.20003
-7.83800   1.13357
-7.58800   1.09269
-7.33800   1.07955
-7.08800   1.07517
-6.83800   1.07465
-6.58800   1.10186
-6.33800   1.15470
-6.08800   1.18389
-5.83800   1.20206
-5.58800   1.23557
-5.33800   1.28958
-5.08800   1.29953
-4.83800   1.23852
-4.58800   1.18221
-4.33800   1.10676
-4.08800   1.05557
-3.83800   1.01078
-3.58800   .97309
-3.33800   .98538
-3.08800   1.00845
-2.83800   1.05859
-2.58800   1.13393
-2.33800   1.16863
-2.08800   1.15509
-1.83800   1.16732
-1.83800   1.16248
-1.58800   1.22596
-1.33800   1.29229
-1.08800   1.25502
-.83800   1.46786
-.58800   1.54201
-.33800   1.63953
-.08800   1.71745
.16200   1.72067
.41200   1.62543
.66200   1.50372
.91200   1.41034
1.16200   1.32721
1.41200   1.26023
1.66200   1.20546
1.91200   1.15751
2.16200   1.14869
2.41200   1.16546
2.66200   1.17517
2.91200   1.09083
3.16200   1.03315
3.41200   .98028
3.66200   .99970
3.91200   1.04367
4.16200   1.06334
4.41200   1.12948
4.66200   1.19500
4.91200   1.25054
5.16200   1.29585
5.41200   1.29694
5.66200   1.23801
5.91200   1.20391
6.16200   1.18305
6.41200   1.15597
6.66200   1.10691
6.91200   1.06626
7.16200   1.07951
7.41200   1.07960
7.66200   1.10614
7.91200   1.15969
8.16200   1.23171
8.41200   1.29595
8.66200   1.26937
8.91200   1.26791
9.16200   1.27485
9.41200   1.30083
9.66200   1.35422
9.91200   1.42272
10.16200   1.50764
10.41200   1.59899
10.66200   1.70961
10.91200   1.83164
11.16200   1.97619
11.41200   2.13614
11.66200   2.30711
11.91200   2.49318
12.16200   2.68071
