Reaction_Coordinate   Radius (Angstrom)
-33.82300   4.26823
-33.57300   4.03917
-33.32300   3.80795
-33.07300   3.58327
-32.82300   3.36136
-32.57300   3.13989
-32.32300   2.92201
-32.07300   2.71034
-31.82300   2.49796
-31.57300   2.30213
-31.32300   2.10563
-31.07300   1.91673
-30.82300   1.74398
-30.57300   1.57599
-30.32300   1.42429
-30.07300   1.29872
-29.82300   1.18562
-29.57300   1.09378
-29.32300   1.03707
-29.07300   1.00102
-28.82300   1.00593
-28.57300   .98145
-28.32300   .96940
-28.07300   .98852
-27.82300   1.02191
-27.57300   1.07299
-27.32300   1.14562
-27.07300   1.23997
-26.82300   1.34794
-26.57300   1.47304
-26.32300   1.61391
-26.07300   1.75979
-25.82300   1.87211
-25.57300   1.97505
-25.32300   2.09426
-25.07300   2.22545
-24.82300   2.36894
-24.57300   2.48150
-24.32300   2.45316
-24.07300   2.43631
-23.82300   2.43637
-23.57300   2.45253
-23.32300   2.48477
-23.07300   2.52938
-22.82300   2.59103
-22.57300   2.60288
-22.32300   2.62458
-22.07300   2.65604
-21.82300   2.71210
-21.57300   2.75431
-21.32300   2.58426
-21.07300   2.42193
-20.82300   2.26811
-20.57300   2.12512
-20.32300   1.98530
-20.07300   1.87006
-19.82300   1.76223
-19.57300   1.66131
-19.32300   1.58797
-19.07300   1.52903
-18.82300   1.46559
-18.57300   1.42397
-18.32300   1.39790
-18.07300   1.40130
-17.82300   1.42759
-17.57300   1.48487
-17.32300   1.55933
-17.07300   1.53876
-16.82300   1.43228
-16.57300   1.34074
-16.32300   1.28200
-16.07300   1.25392
-15.82300   1.24198
-15.57300   1.26196
-15.32300   1.31077
-15.07300   1.38457
-14.82300   1.48190
-14.57300   1.59425
-14.32300   1.73149
-14.07300   1.87780
-13.82300   2.04010
-13.57300   2.21437
-13.32300   2.12934
-13.07300   2.00645
-12.82300   1.89721
-12.57300   1.80670
-12.32300   1.73134
-12.07300   1.65301
-11.82300   1.58116
-11.57300   1.52930
-11.32300   1.49443
-11.07300   1.47796
-10.82300   1.47461
-10.57300   1.49796
-10.32300   1.53952
-10.07300   1.59106
-9.82300   1.66349
-9.57300   1.75412
-9.32300   1.85647
-9.07300   1.97598
-8.82300   2.09939
-8.57300   2.24799
-8.32300   2.37714
-8.07300   2.21269
-7.82300   2.04902
-7.57300   1.90213
-7.32300   1.75927
-7.07300   1.63280
-6.82300   1.52053
-6.57300   1.42121
-6.32300   1.33946
-6.07300   1.26684
-5.82300   1.21949
-5.57300   1.20247
-5.32300   1.14025
-5.07300   1.10313
-4.82300   1.09291
-4.57300   1.11533
-4.32300   1.15587
-4.07300   1.23704
-3.82300   1.33213
-3.57300   1.45167
-3.32300   1.59114
-3.07300   1.73975
-2.82300   1.91358
-2.57300   2.08987
-2.32300   2.28256
-2.07300   2.47718
-1.82300   2.67245
-1.57300   2.75971
-1.32300   2.85798
-1.07300   2.97223
-.82300   3.09223
-.57300   3.22765
-.32300   3.37941
-.07300   3.53125
.17700   3.69734
.42700   3.86678
.67700   4.04262
.92700   4.22984
1.17700   4.24810
1.42700   4.19666
1.67700   4.15430
1.92700   4.13101
1.92700   4.13300
2.17700   4.11805
2.42700   4.11437
2.67700   3.99631
2.92700   3.77090
3.17700   3.54768
3.42700   3.33143
3.67700   3.11726
3.92700   2.90682
4.17700   2.69753
4.42700   2.49899
4.67700   2.30588
4.92700   2.12120
5.17700   1.94213
5.42700   1.77767
5.67700   1.62801
5.92700   1.49004
6.17700   1.37878
6.42700   1.28185
6.67700   1.20571
6.92700   1.14171
7.17700   1.07207
7.42700   1.01928
7.67700   .98768
7.92700   .98680
8.17700   1.00201
8.42700   1.04816
8.67700   1.11255
8.92700   1.19981
9.17700   1.17728
9.42700   1.03715
9.67700   .90923
9.92700   .80408
10.17700   .71704
10.42700   .65470
10.67700   .62349
10.92700   .60801
11.17700   .63311
11.42700   .67037
11.67700   .74535
11.92700   .84372
12.17700   .95786
12.42700   1.09447
12.67700   1.02086
12.92700   .91033
13.17700   .81717
13.42700   .74631
13.67700   .70783
13.92700   .68355
14.17700   .69841
14.42700   .73627
14.67700   .79871
14.92700   .88096
15.17700   .98407
15.42700   1.11107
15.67700   1.00362
15.92700   .89395
16.17700   .79725
16.42700   .73787
16.67700   .69704
16.92700   .67660
17.17700   .68722
17.42700   .72364
17.67700   .78364
17.92700   .87280
18.17700   .98145
18.42700   1.10679
18.67700   1.24317
18.92700   1.15052
19.17700   1.05713
19.42700   .98024
19.67700   .93591
19.92700   .90410
20.17700   .90521
20.42700   .92362
20.67700   .97607
20.92700   1.04027
21.17700   1.13265
21.42700   1.23935
21.67700   1.36874
21.92700   1.50430
22.17700   1.65967
22.42700   1.82487
22.67700   1.99717
22.92700   2.18012
23.17700   2.36739
23.42700   2.56761
23.67700   2.76919
23.92700   2.97461
24.17700   3.18410
24.42700   3.38482
24.67700   3.46642
24.92700   3.55113
25.17700   3.65558
25.42700   3.76187
25.67700   3.87767
25.92700   4.00652
26.17700   4.14260
26.42700   4.28513
26.67700   4.43363
26.92700   4.59005
27.17700   4.74988
27.42700   4.91937
