Reaction_Coordinate   Radius (Angstrom)
-4.35300   4.91372
-4.10300   4.74947
-3.85300   4.59994
-3.60300   4.45339
-3.35300   4.31582
-3.10300   4.18611
-2.85300   4.05937
-2.60300   3.94335
-2.35300   3.82751
-2.10300   3.73525
-1.85300   3.64462
-1.60300   3.57409
-1.35300   3.49700
-1.10300   3.43623
-.85300   3.39338
-.60300   3.35844
-.35300   3.33889
-.10300   3.32757
.14700   3.33141
.39700   3.32975
.64700   3.33074
.89700   3.32996
1.14700   3.33077
1.39700   3.32779
1.64700   3.32945
1.89700   3.32342
2.14700   3.33816
2.39700   3.31653
2.64700   3.32619
2.89700   3.33414
3.14700   3.32235
3.39700   3.31842
3.64700   3.33103
3.89700   3.31990
4.14700   3.33096
4.39700   3.33328
4.64700   3.33142
4.89700   3.32975
5.14700   3.32192
5.39700   3.32920
5.64700   3.32914
5.89700   3.32463
6.14700   3.33266
6.39700   3.32696
6.64700   3.32102
6.89700   3.33429
7.14700   3.32593
7.39700   3.32902
7.64700   3.33168
7.89700   3.33092
8.14700   3.32592
8.39700   3.32138
8.64700   3.32222
8.89700   3.32399
9.14700   3.32378
9.39700   3.32927
9.64700   3.32776
9.89700   3.32593
10.14700   3.33023
10.39700   3.32759
10.64700   3.32288
10.89700   3.32710
11.14700   3.32942
11.39700   3.32942
11.64700   3.32970
11.89700   3.32852
12.14700   3.32903
12.39700   3.32320
12.64700   3.32357
12.89700   3.32031
13.14700   3.32330
13.39700   3.33604
13.64700   3.32353
13.89700   3.31807
14.14700   3.32344
14.39700   3.32118
14.64700   3.33025
14.89700   3.32910
15.14700   3.33333
15.39700   3.32930
15.64700   3.32677
15.89700   3.33370
16.14700   3.32238
16.39700   3.32637
16.64700   3.32864
16.89700   3.32440
17.14700   3.32795
17.39700   3.33467
17.64700   3.32757
17.89700   3.32159
18.14700   3.32488
18.39700   3.32411
18.64700   3.32568
18.89700   3.32899
19.14700   3.32659
19.39700   3.32669
19.64700   3.32732
19.89700   3.33508
20.14700   3.33081
20.39700   3.32342
20.64700   3.32838
20.89700   3.32532
21.14700   3.32374
21.39700   3.33170
21.64700   3.32403
21.89700   3.32698
22.14700   3.33353
22.39700   3.32651
22.64700   3.32960
22.89700   3.32992
23.14700   3.33089
23.39700   3.32534
23.64700   3.32980
23.89700   3.33394
24.14700   3.31455
24.39700   3.32477
24.64700   3.33787
24.89700   3.32238
25.14700   3.32872
25.39700   3.33242
25.64700   3.32402
25.89700   3.32776
26.14700   3.33156
26.39700   3.32395
26.64700   3.31872
26.89700   3.32407
27.14700   3.33481
27.39700   3.32115
27.64700   3.33083
27.89700   3.33149
28.14700   3.32849
28.39700   3.33051
28.64700   3.32670
28.89700   3.31873
29.14700   3.32532
29.39700   3.32448
29.64700   3.32423
29.89700   3.32820
30.14700   3.33117
30.14700   3.33194
30.39700   3.33026
30.64700   3.32866
30.89700   3.32768
31.14700   3.33138
31.39700   3.32394
31.64700   3.32695
31.89700   3.32954
32.14700   3.32890
32.39700   3.32949
32.64700   3.32493
32.89700   3.32519
33.14700   3.32383
33.39700   3.33031
33.64700   3.32582
33.89700   3.32062
34.14700   3.32990
34.39700   3.32970
34.64700   3.32223
34.89700   3.32594
35.14700   3.33545
35.39700   3.32098
35.64700   3.32432
35.89700   3.33356
36.14700   3.32866
36.39700   3.32769
36.64700   3.33217
36.89700   3.31547
37.14700   3.32645
37.39700   3.32780
37.64700   3.32768
37.89700   3.32406
38.14700   3.32695
38.39700   3.33285
38.64700   3.32994
38.89700   3.32532
39.14700   3.33385
39.39700   3.32954
39.64700   3.32392
39.89700   3.33354
40.14700   3.32981
40.39700   3.32497
40.64700   3.32586
40.89700   3.33022
41.14700   3.33060
41.39700   3.33191
41.64700   3.32580
41.89700   3.32341
42.14700   3.32856
42.39700   3.33010
42.64700   3.32362
42.89700   3.32488
43.14700   3.33549
43.39700   3.32883
43.64700   3.32596
43.89700   3.33453
44.14700   3.32366
44.39700   3.32967
44.64700   3.32753
44.89700   3.32706
45.14700   3.33313
45.39700   3.32837
45.64700   3.33510
45.89700   3.33315
46.14700   3.32442
46.39700   3.32744
46.64700   3.32820
46.89700   3.32328
47.14700   3.33100
47.39700   3.32915
47.64700   3.32468
47.89700   3.33323
48.14700   3.32792
48.39700   3.33315
48.64700   3.32016
48.89700   3.32566
49.14700   3.33143
49.39700   3.32985
49.64700   3.33163
49.89700   3.32101
50.14700   3.32330
50.39700   3.33339
50.64700   3.33111
50.89700   3.32848
51.14700   3.33590
51.39700   3.32185
51.64700   3.32833
51.89700   3.33571
52.14700   3.32714
52.39700   3.33224
52.64700   3.33143
52.89700   3.33139
53.14700   3.32115
53.39700   3.32726
53.64700   3.31925
53.89700   3.32133
54.14700   3.32590
54.39700   3.33160
54.64700   3.33065
54.89700   3.32800
55.14700   3.33012
55.39700   3.33098
55.64700   3.33056
55.89700   3.33208
56.14700   3.34001
56.39700   3.36095
56.64700   3.40642
56.89700   3.45849
57.14700   3.51448
57.39700   3.57549
57.64700   3.66407
57.89700   3.75937
58.14700   3.86403
58.39700   3.96633
58.64700   4.09039
58.89700   4.21574
59.14700   4.34840
59.39700   4.48934
59.64700   4.63703
59.89700   4.78913
60.14700   4.94739
